SW;SCRE;LW;LCRE;CFnet;Fnet;SW_surf;LW_surf;LH;SH;Lf_snow;Fnet_surf;Fnet_toa_min_surf;CC;LWP;IWP;PWAT;Prcp_lsc;Prcp_cv;Prcp_tot;Prcp_snow;Prcp_rain;Temp_srf;Temp_2m;WMO_TP;O3_column
0.58628374;0.8306132;0.6828844;0.9373486;0.85845023;0.66556585;0.5362626;0.618508;0.511316;0.7146097;0.7961607;0.91719353;0.595818;0.78466797;0.8673753;0.7623408;0.5009862;0.7175889;0.79735506;0.8646543;0.79616076;0.8463314;0.3891172;0.39381295;0.3869083;0.57629424
0.22662188;0.7072729;0.6054538;0.9111525;0.711003;0.26696873;0.27778372;0.49392328;0.41975945;0.55837584;0.61940676;0.6433469;0.4957528;0.6955342;0.73660004;0.7033021;0.44041538;0.6013443;0.8316568;0.89789397;0.61940676;0.87635154;0.2699315;0.2764428;0.35163867;0.605957
0.39041972;0.78547555;0.5529018;0.9688095;0.8672678;0.5395949;0.39299724;0.44521663;0.469595;0.5836196;0.5001754;0.86385536;0.5971216;0.6443478;0.67510855;0.672101;0.34213763;0.5763031;0.84076405;0.914148;0.5001754;0.8829265;0.1489974;0.14611793;0.25240445;0.63477296
0.72833014;0.94130564;0.4540008;0.8095307;1.0318928;0.8725302;0.6512312;0.416946;0.50158316;0.678221;0.5635209;1.1441107;0.71358514;0.5375931;0.617551;0.5868684;0.2165121;0.5780058;0.649065;0.7366896;0.5635209;0.7083975;0.22185308;0.21659228;0.17803721;0.5530206
0.88734955;1.0594087;0.552028;0.83425355;1.1099244;1.015379;0.78094244;0.48267832;0.5670526;0.74477535;0.63706565;1.2508223;0.84368354;0.5658787;0.7112656;0.6540134;0.3729222;0.6116469;0.66090536;0.75020003;0.63706565;0.737828;0.355872;0.35799178;0.2932344;0.46388543
0.8571611;1.0703138;0.6368719;0.844563;1.1096519;0.96587795;0.7639855;0.60089916;0.5341105;0.746436;0.70007795;1.2286389;0.77903104;0.6464006;0.8325017;0.72600806;0.53288066;0.67640775;0.6976039;0.75796896;0.70007795;0.7514222;0.42719555;0.43499994;0.4401894;0.70070404
0.6058698;0.9055729;0.57144624;0.7288632;0.96691805;0.6809681;0.5495736;0.58782;0.4788795;0.68513525;0.7272478;1.1210823;0.63582283;0.603982;0.8263979;0.65675485;0.5191525;0.69457746;0.6434742;0.6938466;0.7272478;0.6883032;0.395093;0.40135047;0.4771072;0.9231502
0.23723511;0.66535306;0.4893234;0.7088368;0.66799533;0.23994987;0.28802568;0.48786253;0.39739096;0.5346535;0.6186053;0.78035516;0.4481606;0.55894065;0.73177826;0.59428865;0.390421;0.62300074;0.6415655;0.702133;0.6186053;0.689502;0.2817207;0.2833889;0.39066246;0.99201846
0.39618644;0.6279316;0.43182686;0.70254487;0.69157505;0.5068441;0.37726408;0.42276958;0.4094333;0.5257944;0.5241136;0.81287074;0.5008413;0.5384386;0.58851117;0.5717298;0.26306608;0.5522057;0.6120496;0.6614754;0.5241136;0.64093184;0.14088474;0.1364335;0.29185447;0.9152036
0.7429054;0.7687543;0.48314863;0.74143445;0.819284;0.8669548;0.66241705;0.50702876;0.49592423;0.6654121;0.5202527;1.078198;0.6587549;0.6196978;0.6551875;0.60021126;0.2509725;0.594825;0.5430059;0.6202205;0.5202527;0.6004892;0.2327773;0.23104712;0.18183339;0.7485524
0.90204066;0.854294;0.60608613;0.8362802;0.89770246;1.0185251;0.80570126;0.60230666;0.48294827;0.7727579;0.6745509;1.1287218;0.6881393;0.6776881;0.7549512;0.7181412;0.3421952;0.7053571;0.5747141;0.66606385;0.6745509;0.6480117;0.3844584;0.3853478;0.25424135;0.57454795
0.8376066;0.91389894;0.7273948;0.9577362;0.9252507;0.942776;0.7478594;0.6688841;0.47741127;0.79524684;0.83430135;1.0748863;0.6514057;0.7648532;0.8411897;0.84103024;0.45125332;0.7635853;0.7561717;0.85841817;0.83430135;0.8351945;0.44119835;0.44319287;0.3587401;0.52929544
0.58485526;0.80959696;0.66748494;0.94031876;0.85280377;0.67450994;0.528708;0.6012259;0.4811661;0.6775592;0.7948339;0.94234425;0.60120434;0.7272271;0.81995094;0.77880514;0.4909809;0.7448692;0.82575536;0.9028071;0.7948339;0.8831056;0.38677016;0.39144996;0.36344776;0.5775316
0.22597098;0.67832386;0.5171442;0.81590533;0.6885204;0.25174773;0.26946124;0.48127928;0.37666658;0.5198021;0.57521325;0.6002185;0.42751637;0.64426136;0.7479804;0.6365148;0.41960034;0.6238486;0.69761217;0.7671844;0.57521325;0.7473456;0.25344753;0.25671306;0.30029008;0.580439
0.38089043;0.7455811;0.42060304;0.7280505;0.83862394;0.52210075;0.3816758;0.40785;0.38281956;0.55291814;0.49299496;0.81642336;0.5175779;0.56453687;0.6466508;0.53617924;0.3121834;0.5575642;0.6744195;0.7477409;0.49299496;0.72323745;0.14611459;0.14204034;0.21078417;0.5563252
0.7184986;0.96920305;0.511994;0.8752075;1.0389401;0.8567514;0.6409235;0.4260182;0.51701325;0.68568856;0.52053756;1.115933;0.711104;0.5827805;0.6659177;0.64491856;0.24020267;0.65370494;0.711736;0.8016853;0.52053756;0.7744131;0.20683707;0.2005515;0.18065825;0.50455135
0.8906711;1.0549871;0.55736226;0.8176178;1.1043165;1.0155578;0.7927084;0.5093584;0.57143354;0.7601765;0.66904795;1.2400434;0.8329376;0.6212436;0.6825539;0.65836394;0.3657495;0.62757057;0.6638954;0.7495456;0.66904795;0.7373675;0.3529724;0.35424057;0.27483663;0.4172364
0.8656904;1.0732908;0.6458706;0.8654365;1.0994003;0.97357553;0.77965444;0.61590123;0.5598006;0.7696314;0.70907307;1.2381532;0.80626845;0.6973151;0.84891313;0.7331552;0.5194479;0.7475877;0.72579825;0.80780816;0.7090731;0.7988369;0.42636222;0.43421644;0.42322716;0.71121997
0.6111017;0.9206924;0.6159558;0.8257219;0.95116377;0.68789726;0.5588194;0.5844428;0.4802113;0.6764149;0.6837576;1.1108427;0.6381053;0.63149387;0.81995827;0.71661735;0.5169932;0.71132046;0.72273296;0.7895068;0.6837576;0.777168;0.40820372;0.41569036;0.4587789;0.9763117
0.23581049;0.63935673;0.5017888;0.7144985;0.62819713;0.23913133;0.2823785;0.4981704;0.40139237;0.535445;0.6231854;0.7646303;0.45592308;0.57402134;0.66539234;0.63720304;0.37287757;0.612318;0.6585016;0.7203996;0.6231854;0.70636433;0.29123083;0.2933917;0.40222374;1.0603446
0.38660523;0.6101883;0.4140811;0.6862224;0.66452056;0.4935763;0.36891615;0.39743102;0.408531;0.53577346;0.5430054;0.80398107;0.5012819;0.49171615;0.5743173;0.5399084;0.21897538;0.5314761;0.6098894;0.672183;0.5430054;0.6520791;0.13260657;0.12339365;0.28132823;0.9784367
0.7323112;0.76970905;0.4794926;0.7561148;0.82329017;0.85796016;0.65325165;0.49390286;0.5011074;0.66734886;0.53831476;1.0249575;0.66045755;0.6010451;0.7257165;0.61387336;0.2695872;0.6732993;0.58715147;0.685507;0.53831476;0.6624705;0.23767586;0.2357243;0.20328844;0.734613
0.8926465;0.86530805;0.6468562;0.88998485;0.89723325;1.0076678;0.79543364;0.62530184;0.53799844;0.7768546;0.672264;1.1179736;0.71924335;0.7360552;0.75381595;0.7577235;0.38702074;0.74295247;0.6753372;0.7753508;0.672264;0.7527725;0.39511004;0.39905286;0.27767608;0.45242968
0.8235002;0.8864936;0.6926205;0.9009931;0.9197788;0.93063635;0.72257435;0.66713035;0.47053668;0.78018063;0.86256343;1.079767;0.65960604;0.7234564;0.85694873;0.8072171;0.47936562;0.7741381;0.73061794;0.8275928;0.86256343;0.8060832;0.48723555;0.4890732;0.3897163;0.4701032
0.5831496;0.8322918;0.683936;0.94365937;0.84204346;0.6647683;0.53129494;0.6644331;0.5053628;0.7218012;0.8444981;0.9253164;0.59942794;0.79353327;0.8217414;0.83336335;0.49875966;0.7661035;0.8081428;0.8981588;0.8444981;0.8746706;0.41366598;0.41844073;0.403001;0.55064535
0.23656173;0.7148908;0.60477597;0.92588145;0.7097972;0.26941374;0.29240403;0.54244226;0.47679937;0.6322811;0.72441036;0.6865899;0.55486816;0.7305848;0.7804644;0.7297297;0.44063833;0.6934722;0.7848314;0.8625487;0.7244103;0.8406646;0.2632375;0.26693976;0.35698986;0.6285254
0.38453248;0.769928;0.5143814;0.8974724;0.832301;0.5192607;0.3846238;0.43572512;0.42866337;0.5992398;0.5574598;0.82636493;0.5369528;0.6425194;0.64597243;0.6455096;0.3107937;0.56306386;0.72825444;0.7928337;0.5574597;0.7667961;0.15525694;0.15225692;0.25213736;0.6304173
0.7175311;0.9259473;0.4282323;0.7356321;1.0168196;0.86333114;0.6359073;0.39761525;0.50560266;0.68840533;0.5785033;1.1299909;0.7028978;0.50856894;0.57848626;0.5656211;0.20328698;0.563209;0.58348274;0.6630903;0.5785033;0.6438379;0.2062935;0.19995308;0.1396301;0.50450444
0.8918668;1.0586481;0.6010823;0.8843737;1.1119548;1.01563;0.7926275;0.47986528;0.59899694;0.7708724;0.6384625;1.2734227;0.85638356;0.59245694;0.7222199;0.71456105;0.36957735;0.65679944;0.7200839;0.8049629;0.63846254;0.79594934;0.34714663;0.34853953;0.2697403;0.40331942
0.85661995;1.0675592;0.6541282;0.8490156;1.1065938;0.96571267;0.763252;0.5817197;0.5397081;0.7540432;0.711173;1.2612847;0.78498465;0.6618751;0.8386061;0.75975066;0.5123674;0.80264246;0.67023015;0.75413746;0.711173;0.74833274;0.429535;0.4357615;0.38632414;0.6370577
0.6179384;0.9337199;0.61124337;0.7929021;0.9696427;0.6846102;0.5681007;0.5701649;0.4831276;0.68170863;0.6882063;1.1260598;0.6406559;0.6393922;0.8577685;0.6982158;0.50030273;0.73620266;0.6631498;0.73570985;0.6882063;0.7311838;0.40643135;0.41265476;0.42783397;0.88672143
0.22002612;0.61528814;0.45268363;0.64698064;0.6238291;0.2281284;0.25814024;0.46741638;0.4012292;0.5208724;0.6358964;0.7558089;0.45127448;0.5464186;0.6936552;0.576519;0.3847307;0.61900884;0.60119545;0.6597792;0.6358964;0.64843565;0.30023843;0.30204877;0.38455668;0.9775895
0.39270434;0.6105767;0.41134986;0.68573564;0.66677386;0.5056041;0.37768564;0.3969661;0.4310129;0.5346008;0.4970521;0.8609019;0.51970226;0.50432223;0.571704;0.55384034;0.26811317;0.550844;0.64793485;0.7008202;0.4970521;0.6822165;0.14560339;0.1383815;0.2670943;0.9691371
0.7365747;0.7962197;0.47879112;0.7819247;0.8241918;0.863623;0.66267717;0.4693191;0.4692332;0.6534804;0.50021046;1.020335;0.6228803;0.59557235;0.6231913;0.6683404;0.24850675;0.629352;0.5850062;0.67128944;0.50021046;0.64927167;0.22388475;0.22244304;0.23631392;0.7605093
0.8895361;0.8578502;0.63751274;0.8779954;0.896652;0.9952564;0.79117626;0.6245017;0.5080013;0.77987075;0.6683367;1.1156216;0.70425;0.70196986;0.76307935;0.74857557;0.34884194;0.7279068;0.6239528;0.7268713;0.6683367;0.70441955;0.393703;0.3953631;0.27216616;0.5099726
0.8344977;0.88239026;0.7179104;0.94457495;0.9290349;0.94050354;0.7402161;0.6842454;0.5055834;0.8033498;0.8426077;1.0856912;0.68555135;0.765977;0.811843;0.8284356;0.4791387;0.7641851;0.76484895;0.85337377;0.8426077;0.83113253;0.47022265;0.47169125;0.36364585;0.537063
0.590689;0.8290232;0.6884935;0.9340697;0.8711816;0.6666119;0.54141086;0.6503166;0.48699686;0.72791135;0.7679769;0.95665914;0.62788916;0.74576026;0.8722636;0.76214206;0.5154016;0.7682972;0.8113129;0.8950917;0.7679769;0.8732234;0.40553465;0.41056576;0.40169576;0.5924389
