SW;SCRE;LW;LCRE;CFnet;Fnet;SW_surf;LW_surf;LH;SH;Lf_snow;Fnet_surf;Fnet_toa_min_surf;CC;LWP;IWP;PWAT;Prcp_lsc;Prcp_cv;Prcp_tot;Prcp_snow;Prcp_rain;Temp_srf;Temp_2m;WMO_TP;O3_column;NO2_column;burden_AER;strat_burden_AER;wet_depos_AER;dry_depos_AER;strat_cond;strat_nuc;strat_evap
0.58770096;0.82363683;0.67115587;0.92010105;0.85592955;0.66091514;0.5362811;0.6318312;0.46487868;0.693986;0.8165584;0.912983;0.578715;0.74956775;0.80465233;0.7609306;0.5124031;0.67418104;0.80088514;0.86951935;0.8165584;0.8493278;0.41360384;0.4185288;0.37935853;0.56546235;0.49925423;0.51453173;0.5025245;0.48352757;0.6639022;0.7948984;1.4259316;1.2955637
0.23369573;0.7080373;0.58802027;0.88356245;0.7055405;0.2605095;0.29014266;0.5514176;0.423309;0.54674935;0.6816907;0.6480943;0.5012232;0.71560663;0.7502714;0.6995646;0.44975153;0.6574933;0.7834315;0.8553717;0.6816907;0.83118373;0.28348315;0.2870944;0.31639487;0.6018558;0.43798077;0.46904716;0.40369648;0.41962832;0.6098117;0.77561826;1.4074384;1.1909323
0.39046577;0.79134566;0.5387086;0.9076371;0.84178245;0.527573;0.39340487;0.4651645;0.4541941;0.59505475;0.5224609;0.8622919;0.5922771;0.65140915;0.6655871;0.64125323;0.32580665;0.6004649;0.7253561;0.80679405;0.5224609;0.7810568;0.1515409;0.14843555;0.23661877;0.59971327;0.40566468;0.4329365;0.34071445;0.38483286;0.60694396;0.5421143;1.4222611;1.1894492
0.7141943;0.951284;0.44251302;0.7264074;1.0460978;0.85502636;0.6295368;0.42182565;0.5213159;0.6764205;0.5678872;1.1003654;0.69499624;0.5359666;0.6320992;0.58029765;0.24251549;0.6423615;0.64230776;0.7224801;0.5678872;0.69504434;0.21529062;0.21003696;0.19419353;0.5495978;0.509087;0.39453328;0.2895039;0.36458758;0.65556914;0.5826276;1.4176093;1.4466757
0.8949786;1.0221167;0.52591145;0.7434694;1.0880193;1.01832;0.7947159;0.46964738;0.56454015;0.7608407;0.6330499;1.25901;0.8207138;0.53422076;0.6537349;0.6504659;0.3581542;0.5936823;0.62092084;0.7049634;0.6330499;0.69596344;0.34348106;0.34645575;0.3153634;0.4564341;0.7148074;0.39754406;0.4354888;0.39015538;0.7310303;0.8382141;1.4296614;1.5319829
0.8639913;1.0550916;0.63451105;0.83481455;1.091958;0.9701343;0.775207;0.5740996;0.5502712;0.7612223;0.6899261;1.2477325;0.7900631;0.6464516;0.7949685;0.75582653;0.5168917;0.72612005;0.66195464;0.743276;0.6899261;0.73817945;0.42374778;0.4317683;0.43964046;0.60226744;0.82822007;0.40282762;0.61444753;0.4006388;0.72662723;0.83575857;1.4235073;1.0543487
0.6010887;0.9311921;0.590179;0.7764468;0.95113397;0.6781603;0.5496661;0.5565584;0.4647584;0.6580576;0.68034077;1.1055503;0.60955465;0.621669;0.83567953;0.69078064;0.51327896;0.7568711;0.6897392;0.7672287;0.68034077;0.75832146;0.3900182;0.39642322;0.45674372;0.79160976;0.7938974;0.4135387;0.5989758;0.43670648;0.7887558;1.0651015;1.425771;1.2275622
0.21746163;0.6177531;0.4640307;0.641635;0.62263656;0.22065762;0.26034138;0.44499063;0.39706984;0.5377453;0.65668637;0.78224844;0.44504872;0.52573276;0.6654035;0.57482105;0.3740485;0.58988345;0.59596527;0.65991783;0.65668637;0.6496974;0.27121866;0.27274048;0.3954957;0.94211644;0.7902244;0.32725465;0.48939863;0.31449556;0.67923534;0.5452313;1.4252555;0.83152896
0.4045506;0.68620396;0.43589762;0.72154856;0.7214805;0.510818;0.39488098;0.46013153;0.45357582;0.53084564;0.4762075;0.8308363;0.54930246;0.5921558;0.6140243;0.59721303;0.23557124;0.5617712;0.62451965;0.6840859;0.4762075;0.66651154;0.13186015;0.12614635;0.30556667;0.9782892;0.68787795;0.3831527;0.4381384;0.3702806;0.74343824;0.68247986;1.3343431;1.1516317
0.7459276;0.7911145;0.49180862;0.76327485;0.8248551;0.8739097;0.67110515;0.53527546;0.5172931;0.67876685;0.4861229;1.0538018;0.6654237;0.6471174;0.710494;0.6425356;0.28956494;0.71493536;0.5806405;0.66728073;0.4861229;0.64487696;0.22977564;0.23021694;0.20921431;0.7169964;0.6584116;0.4466254;0.3573285;0.4212835;0.842249;0.93178105;1.4114004;1.0328368
